image_path,label,mean_intensity,variance,median_intensity,min_intensity,max_intensity,entropy,edge_density,contrast,smoothness,skewness,kurtosis
chest_xray_split/train\NORMAL\IM-0001-0001.jpeg,NORMAL,130.99860774291207,3260.6420739108066,132.0,0,255,7.599452,0.0015263717207847833,3260.6420739108066,0.9996934059662773,-51406.22570356356,2.2972726471728735
chest_xray_split/train\NORMAL\IM-0003-0001.jpeg,NORMAL,142.44530323192694,3680.6337407660703,150.0,0,255,7.6034,0.001045676046358828,3680.6337407660703,0.9997283814549701,-104293.97663962124,2.206466389826341
chest_xray_split/train\NORMAL\IM-0005-0001.jpeg,NORMAL,136.24955916018104,3069.6124735790722,138.0,0,255,7.5709386,0.0014481578001510071,3069.6124735790722,0.9996743320726388,-66094.82312505334,2.408114432170622
chest_xray_split/train\NORMAL\IM-0009-0001.jpeg,NORMAL,143.67070455569376,2415.3450851933617,148.0,0,255,7.544546,0.0007801870652842575,2415.3450851933617,0.9995861518265219,-41758.550841943885,2.400904094641831
chest_xray_split/train\NORMAL\IM-0010-0001.jpeg,NORMAL,132.6076446360105,3455.669171070565,138.0,0,255,7.5887938,0.000966299099734349,3455.669171070565,0.9997107041633115,-124887.47276402723,2.779000175135827
chest_xray_split/train\NORMAL\IM-0011-0001-0001.jpeg,NORMAL,137.0661724324619,2803.387346527011,142.0,0,255,7.526566,0.0008215868725267192,2803.387346527011,0.9996434158778963,-88346.86797878098,3.035297785828289
chest_xray_split/train\NORMAL\IM-0011-0001-0002.jpeg,NORMAL,133.42192335290963,3359.1149884892393,136.0,0,255,7.6146393,0.0012063916697436041,3359.1149884892393,0.999702391137379,-88885.05897607202,2.541808627366128
chest_xray_split/train\NORMAL\IM-0013-0001.jpeg,NORMAL,136.0494400795926,3157.5478581380808,139.0,0,255,7.589756,0.0007264345468423071,3157.5478581380808,0.9996833988133428,-101469.25952208537,2.949266322131012
chest_xray_split/train\NORMAL\IM-0015-0001.jpeg,NORMAL,136.62083388214043,2261.0531226404546,137.0,0,255,7.5088673,0.0010980621957480665,2261.0531226404546,0.9995579237330939,-42879.14768252474,2.9459192851305573
chest_xray_split/train\NORMAL\IM-0016-0001.jpeg,NORMAL,134.1332920492933,3871.527945443505,142.0,0,255,7.6006527,0.0005567896222666027,3871.527945443505,0.9997417707466316,-134207.7480534885,2.3950384757016536
chest_xray_split/train\NORMAL\IM-0017-0001.jpeg,NORMAL,139.29900428572907,2318.30408397824,142.0,0,242,7.4167366,0.0007549168201287012,2318.30408397824,0.9995688361837035,-58512.23962161225,2.939811443998638
chest_xray_split/train\NORMAL\IM-0022-0001.jpeg,NORMAL,86.48853384864731,1091.939236436611,92.0,0,255,6.797161,0.0005485600299214562,1091.939236436611,0.9990850360508052,-21335.518323860302,4.519018860901611
chest_xray_split/train\NORMAL\IM-0023-0001.jpeg,NORMAL,132.68986952768105,2965.456574045741,135.0,0,255,7.575879,0.0010134188664574079,2965.456574045741,0.9996628974754765,-86656.21793872878,2.8402944659129825
chest_xray_split/train\NORMAL\IM-0028-0001.jpeg,NORMAL,127.7372084227536,3490.2742850688574,133.0,0,255,7.546918,0.0006922136050215729,3490.2742850688574,0.999713571630772,-90434.09178627597,2.2138703358565643
chest_xray_split/train\NORMAL\IM-0030-0001.jpeg,NORMAL,109.65385752796237,2614.391788978068,110.0,0,255,7.4630275,0.0008437461590142679,2614.391788978068,0.9996176481075554,-25685.59826012618,2.7113297804626932
chest_xray_split/train\NORMAL\IM-0031-0001.jpeg,NORMAL,138.5542183522973,3386.881490168361,144.0,0,255,7.7001987,0.0013515603778710048,3386.881490168361,0.9997048302891048,-84127.4005173475,2.4488916973260766
chest_xray_split/train\NORMAL\IM-0033-0001-0001.jpeg,NORMAL,151.9030882418871,4316.420219886478,164.0,0,255,7.7128553,0.001108303189468642,4316.420219886478,0.9997683802018174,-185385.91186389787,2.585222692265138
chest_xray_split/train\NORMAL\IM-0033-0001.jpeg,NORMAL,143.43673713479586,2688.5857837318827,139.0,0,255,7.5603724,0.001985553037463651,2688.5857837318827,0.9996281955362611,-14866.911686032974,2.343985108067203
chest_xray_split/train\NORMAL\IM-0035-0001.jpeg,NORMAL,130.80170604856022,3442.657276414595,131.0,0,255,7.5867634,0.0010488372415130404,3442.657276414595,0.9997096110559989,-49742.930462311364,2.0782023739970805
chest_xray_split/train\NORMAL\IM-0036-0001.jpeg,NORMAL,154.14201588804667,4922.677027294207,165.0,0,255,7.698962,0.0015851196405201023,4922.677027294207,0.9997968997571416,-203473.52048416468,2.4327527733413508
chest_xray_split/train\NORMAL\IM-0037-0001.jpeg,NORMAL,140.2954659678346,2440.8203499192905,142.0,0,255,7.507359,0.0011105747491659233,2440.8203499192905,0.999590469462656,-48930.770767602364,2.9536976621026203
chest_xray_split/train\NORMAL\IM-0039-0001.jpeg,NORMAL,134.19872321763248,3298.8896881760584,138.0,0,255,7.6034403,0.0009281592320240063,3298.8896881760584,0.999696959566987,-76131.3336552658,2.346974336345099
chest_xray_split/train\NORMAL\IM-0041-0001.jpeg,NORMAL,107.90777044017497,2894.049519595435,104.0,0,255,7.554805,0.0008250624110162428,2894.049519595435,0.9996545827650852,-1522.5222541890957,2.2168831774370528
chest_xray_split/train\NORMAL\IM-0043-0001.jpeg,NORMAL,143.48278887388207,2486.4248654909793,144.0,0,255,7.4533496,0.0005707547331507375,2486.4248654909793,0.9995979778067376,-54782.06398908189,2.8357350347735895
chest_xray_split/train\NORMAL\IM-0049-0001.jpeg,NORMAL,120.63473968260767,3497.4993681871115,131.0,0,255,7.6208663,0.0013069410832458827,3497.4993681871115,0.9997141631611847,-103295.30632362523,2.289950272266107
chest_xray_split/train\NORMAL\IM-0050-0001.jpeg,NORMAL,131.4621898014853,2924.464442373787,143.0,0,255,7.5716777,0.000701064861725527,2924.464442373787,0.999658173934533,-106429.86641199085,2.681210005453267
chest_xray_split/train\NORMAL\IM-0059-0001.jpeg,NORMAL,139.10425404932425,3871.9615609730754,155.0,0,255,7.5227757,0.0008464823427587715,3871.9615609730754,0.9997417996578957,-212251.1008346356,2.8231222200652377
chest_xray_split/train\NORMAL\IM-0061-0001.jpeg,NORMAL,138.3080822849312,5309.693308365766,150.0,0,255,7.841544,0.0006843235405567677,5309.693308365766,0.999811700668456,-136226.8899120229,2.02683502472071
chest_xray_split/train\NORMAL\IM-0063-0001.jpeg,NORMAL,113.51388602725835,3511.6982043022085,115.0,0,255,7.5977445,0.000587402013582834,3511.6982043022085,0.9997153185551849,-50870.22212142222,2.1815702381825046
chest_xray_split/train\NORMAL\IM-0065-0001.jpeg,NORMAL,106.41872094466899,4039.3907261112854,113.0,0,248,7.470148,0.0007029085742305314,4039.3907261112854,0.9997524991844137,-69351.32759002213,1.9941731356977799
chest_xray_split/train\NORMAL\IM-0069-0001.jpeg,NORMAL,124.74504612160369,4115.932250726801,131.0,0,255,7.6921268,0.001132586594736468,4115.932250726801,0.9997571006907331,-108817.62333696801,2.1203224921404673
